FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
82601,82601,,Armenia,26/05/2020 02:32,40.0691,45.0382,7113,87,3145,3881,Armenia
82601,82601,,Austria,26/05/2020 02:32,47.5162,14.5501,16421,729,15138,760,Austria
82601,82601,,Azerbaijan,26/05/2020 02:32,40.1431,47.5769,4271,51,2741,1479,Azerbaijan
82601,82601,,Bahamas,26/05/2020 02:32,25.025885,-78.035889,100,11,46,43,Bahamas
82601,82601,,Bahrain,26/05/2020 02:32,26.0275,50.55,9171,14,4753,4404,Bahrain
82601,82601,,Bangladesh,26/05/2020 02:32,23.685,90.3563,35585,501,7334,27750,Bangladesh
82601,82601,,Barbados,26/05/2020 02:32,13.1939,-59.5432,92,7,71,14,Barbados
82601,82601,,Belarus,26/05/2020 02:32,53.7098,27.9534,37144,204,14449,22491,Belarus
82601,82601,,Belgium,26/05/2020 02:32,50.8333,4.469936,57342,9312,15297,32733,Belgium
82601,82601,,Belize,26/05/2020 02:32,13.1939,-59.5432,18,2,16,0,Belize
82601,82601,,Benin,26/05/2020 02:32,9.3077,2.3158,191,3,84,104,Benin
82601,82601,,Bhutan,26/05/2020 02:32,27.5142,90.4336,27,0,6,21,Bhutan
82601,82601,,Bolivia,26/05/2020 02:32,-16.2902,-63.5887,6660,261,647,5752,Bolivia
82601,82601,,Bosnia and Herzegovina,26/05/2020 02:32,43.9159,17.6791,2406,146,1696,564,Bosnia and Herzegovina
82601,82601,,Botswana,26/05/2020 02:32,-22.3285,24.6849,35,1,19,15,Botswana
82601,82601,,Brunei,26/05/2020 02:32,4.5353,114.7277,141,1,137,3,Brunei
82601,82601,,Bulgaria,26/05/2020 02:32,42.7339,25.4858,2433,130,862,1441,Bulgaria
82601,82601,,Burkina Faso,26/05/2020 02:32,12.2383,-1.5616,832,52,672,108,Burkina Faso
82601,82601,,Burma,26/05/2020 02:32,21.9162,95.956,203,6,123,74,Burma
82601,82601,,Burundi,26/05/2020 02:32,-3.3731,29.9189,42,1,20,21,Burundi
82601,82601,,Cabo Verde,26/05/2020 02:32,16.5388,-23.0418,390,3,155,232,Cabo Verde
82601,82601,,Cambodia,26/05/2020 02:32,11.55,104.9167,124,0,122,2,Cambodia
82601,82601,,Cameroon,26/05/2020 02:32,3.848,11.5021,4890,165,1865,2860,Cameroon
82601,82601,,Central African Republic,26/05/2020 02:32,6.6111,20.9394,652,1,22,629,Central African Republic
82601,82601,,Chad,26/05/2020 02:32,15.4542,18.7322,687,61,244,382,Chad
82601,82601,,Colombia,26/05/2020 02:32,4.5709,-74.2973,21981,750,5265,15966,Colombia
82601,82601,,Comoros,26/05/2020 02:32,-11.6455,43.3333,87,1,21,65,Comoros
82601,82601,,Congo (Brazzaville),26/05/2020 02:32,-0.228,15.8277,487,16,147,324,Congo (Brazzaville)
82601,82601,,Congo (Kinshasa),26/05/2020 02:32,-4.0383,21.7587,2297,67,337,1893,Congo (Kinshasa)
